1,2,ROG Strix,650W,80+ Gold,Full
2,2,ROG Strix,750W,80+ Gold,Full
3,2,ROG Thor 850,850W,80+ Platinum,Full
4,2,ROG Strix G,1000W,80+ Gold,Full
5,2,ROG Thor 1200P,1200W,80+ Platinum,Full
6,3,System Power 9,600W,80+ Bronze,NO
7,3,System Power 9,700W,80+ Bronze,NO
8,3,Power Zone,850W,80+ Bronze,Full
9,3,Power Zone,1000W,80+ Bronze,Full
10,3,Pure Power 11,600W,80+ Gold,NO
11,3,Pure Power 11,700W,80+ Gold,Semi
12,3,Straight Power 11,850W,80+ Gold,Full
13,3,Straight Power 11,1000W,80+ Gold,Full
14,3,Dark Power Pro,650W,80+ Platinum,Semi
15,3,Dark Power Pro,700W,80+ Platinum,Semi
16,3,Dark Power Pro,850W,80+ Platinum,Semi
17,3,Dark Power Pro,1000W,80+ Platinum,Semi
18,3,Dark Power 12,750W,80+ Titanium,Full
19,3,Dark Power 12,850W,80+ Titanium,Full
20,3,Dark Power 12,1000W,80+ Titanium,Full
21,3,Dark Power Pro 12,1200W,80+ Titanium,Full
22,3,Dark Power Pro 12,1500W,80+ Titanium,Full
23,5,TXM,650W,80+ Bronze,Semi
24,5,TXM,750W,80+ Bronze,Semi
25,5,CXM,850W,80+ Bronze,Semi
26,5,TX,950W,80+ Bronze,NO
27,2,RMx (2021),750W,80+ Gold,Full
28,5,RM  (2021),850W,80+ Gold,Full
29,5,RMx,1000W,80+ Gold,Full
30,5,AX,1200W,80+ Gold,Full
31,5,AXi,750W,80+ Platinum,Full
32,5,HXi,850W,80+ Platinum,Full
33,5,HX,1000W,80+ Platinum,Full
34,5,HX,1200W,80+ Platinum,Full
35,5,AX,850W,80+ Titanium,Full
36,5,AX,1000W,80+ Titanium,Full
37,5,AXi,1500W,80+ Titanium,Full
38,5,AXi,1600W,80+ Titanium,Full
39,7,BQ,600W,80+ Bronze,Semi
40,7,BR,700W,80+ Bronze,NO
41,7,B3,750W,80+ Bronze,Full
42,7,B5,850W,80+ Bronze,Full
43,7,SuperNOVA G6,750W,80+ Gold,Full
44,7,SuperNOVA GA,850W,80+ Gold,Full
45,7,SuperNOVA G6,1000W,80+ Gold,Full
46,7,SuperNOVA Classified,1500W,80+ Gold,Full
47,7,PQ,750W,80+ Platinum,Full
48,7,P2,850W,80+ Platinum,Semi
49,7,SuperNOVA P5,1000W,80+ Platinum,Semi
50,7,P2,1600W,80+ Platinum,Full
51,7,SuperNOVA T2,750W,80+ Titanium,Full
52,7,SuperNOVA T2,850W,80+ Titanium,Full
53,7,T2,1000W,80+ Titanium,Full
54,7,T2,1600W,80+ Titanium,Full
