1,16,1,Barracuda,1 TB,7200RPM,0
2,16,1,Barracuda,2 TB,7200RPM,0
3,16,1,Barracuda,4 TB,7200RPM,0
4,16,1,Barracuda,10 TB,7200RPM,0
5,16,1,Barracuda,20 TB,7200RPM,0
6,16,1,IronWolf Pro,1 TB,7200RPM,0
7,16,1,IronWolf Pro,2 TB,7200RPM,0
8,16,1,IronWolf Pro,4 TB,7200RPM,0
9,16,1,IronWolf Pro,10 TB,7200RPM,0
10,16,1,IronWolf Pro,20 TB,7200RPM,0
11,17,1,Black,1 TB,7200RPM,0
12,17,1,Black,2 TB,7200RPM,0
13,17,1,Black,4 TB,7200RPM,0
14,17,1,Black,10 TB,7200RPM,0
15,17,1,Black,20 TB,7200RPM,0
16,17,1,Gold,1 TB,7200RPM,0
17,17,1,Gold,2 TB,7200RPM,0
18,17,1,Gold,4 TB,7200RPM,0
19,17,1,Gold,10 TB,7200RPM,0
20,17,1,Gold,20 TB,7200RPM,0
21,18,2,870 EVO,256 GB,560/530 MB/s,0
22,18,2,870 EVO,512 GB,560/530 MB/s,0
23,18,2,870 EVO,1 TB,560/530 MB/s,0
24,18,2,870 EVO,2 TB,560/530 MB/s,0
25,18,2,860 PRO,256 GB,560/530 MB/s,0
26,18,2,860 PRO,512 GB,560/530 MB/s,0
27,18,2,860 PRO,1 TB,560/530 MB/s,0
28,18,2,860 PRO,2 TB,560/530 MB/s,0
29,15,2,A400,240 GB,500/450 MB/s,0
30,15,2,A400,480 GB,500/450 MB/s,0
31,15,2,A400,960 GB,500/450 MB/s,0
32,15,2,A400,1.92 TB,500/450 MB/s,0
33,15,2,DC450R,240 GB,550/500 MB/s,0
34,15,2,DC450R,480 GB,550/500 MB/s,0
35,15,2,DC450R,960 GB,550/500 MB/s,0
36,15,2,DC450R,1.92 TB,550/500 MB/s,0
37,18,2,970 EVO,250 GB,3400/2500 MB/s,1
38,18,2,970 EVO,500 GB,3400/2500 MB/s,1
39,18,2,970 EVO,1 TB,3400/2500 MB/s,1
40,18,2,970 EVO,2 TB,3400/2500 MB/s,1
41,18,3,970 EVO PLUS,250 GB,3500/3300 MB/s,1
42,18,3,970 EVO PLUS,500 GB,3500/3300 MB/s,1
43,18,3,970 EVO PLUS,1 TB,3500/3300 MB/s,1
44,18,3,970 EVO PLUS,2 TB,3500/3300 MB/s,1
45,18,3,970 PRO,250 GB,3500/2700 MB/s,1
46,18,3,970 PRO,500 GB,3500/2700 MB/s,1
47,18,3,970 PRO,1 TB,3500/2700 MB/s,1
48,18,3,970 PRO,2 TB,3500/2700 MB/s,1
49,18,3,980 PRO,250 GB,7000/5100 MB/s,1
50,18,3,980 PRO,500 GB,7000/5100 MB/s,1
51,18,3,980 PRO,1 TB,7000/5100 MB/s,1
52,18,3,980 PRO,2 TB,7000/5100 MB/s,1
